.id	OTU	log2FoldChange	p	padj	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Rank8	density_min	density_max	sparsity_threshold	sparsity_apply	l2fc_threshold
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.514	0.614290656560326	0.331612696801833	0.765673775423476	Bacteria	__Proteobacteria	__Deltaproteobacteria	__Desulfobacterales	__Nitrospinaceae	__uncultured	__uncultured_bacterium	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.729	2.15957213303384	0.0232760322489068	0.358744401496421	Bacteria	__Acidobacteria	__RB25	__uncultured_Acidobacteria_bacterium	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.2590	1.1371665650443	0.353873591371694	0.765673775423476	Bacteria	__Acidobacteria	__DA023	__uncultured_bacterium	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.3214	1.31024857184618	0.184056213043884	0.765673775423476	Bacteria	__Acidobacteria	__DA023	__uncultured_bacterium	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.1136	3.11080667893696	0.000880048645039706	0.0442424455188143	Bacteria	__Acidobacteria	__DA023	__uncultured_bacterium	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.11981	0.00106103317838321	0.53222435707809	0.765673775423476	Bacteria	__Acidobacteria	__DA023	NA	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.3259	1.22508060286719	0.280369952606798	0.765673775423476	Bacteria	__Acidobacteria	__DA023	__uncultured_bacterium	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.13711	0.00106103317838321	0.53222435707809	0.765673775423476	Bacteria	__Acidobacteria	__DA023	__uncultured_bacterium	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.2119	1.59637399556669	0.129384007899158	0.765673775423476	Bacteria	__Acidobacteria	__DA023	NA	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.6725	0.00106103317838321	0.53222435707809	0.765673775423476	Bacteria	__Acidobacteria	__DA023	NA	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.5208	1.6323199724866	0.0774146501336051	0.688742299924929	Bacteria	__Acidobacteria	__DA023	__uncultured_Acidobacteria_bacterium	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.5611	0.00106103317838253	0.53222435707809	0.765673775423476	Bacteria	__Acidobacteria	__DA023	NA	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.11602	0.397100506468001	0.48093689436277	0.765673775423476	Bacteria	__Acidobacteria	__Holophagae	__Sva0725	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.1469	1.84952456872788	0.0360513784247568	0.457607014588153	Bacteria	__Acidobacteria	__Holophagae	__Sva0725	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.5769	2.09929945541843	0.0594383035709701	0.597625124995391	Bacteria	__Acidobacteria	__Holophagae	__Sva0725	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.3410	0.435776133211654	0.475927633909631	0.765673775423476	Bacteria	__Acidobacteria	__Holophagae	__43F-1404R	__uncultured_bacterium	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.8072	0.00106103317838321	0.53222435707809	0.765673775423476	Bacteria	__Acidobacteria	__Holophagae	__43F-1404R	__uncultured_bacterium	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.4293	-0.771802390011367	0.630021671378184	0.769227100750362	Bacteria	__Acidobacteria	__Holophagae	__43F-1404R	__uncultured_bacterium	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.10760	-0.411133643298857	0.585020901913257	0.765673775423476	Bacteria	__Acidobacteria	__Holophagae	__43F-1404R	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.7877	1.1107716307292	0.269819441645145	0.765673775423476	Bacteria	__Acidobacteria	__Holophagae	__43F-1404R	NA	NA	NA	NA	1.7	1.73	0	all	0.25
(substrate=='12C-Con' & day=='3') | (substrate=='13C-Cel' & day == '3')	OTU.12906	-0.411133643298857	0.585020901913257	0.765673775423476	Bacteria	__Acidobacteria	__Holophagae	__43F-1404R	NA	NA	NA	NA	1.7	1.73	0	all	0.25
