OTU	log2FoldChange	p	padj	Domain	Phylum	Class	Order	Family	Genus	Species	density_min	density_max	sparsity_threshold	sparsity_apply	l2fc_threshold
OTU.1925	0.160574352016062	0.564033748948623	1	Bacteria	GAL15	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.1059	0.50384339552158	0.439710321915258	1	Bacteria	Chloroflexi	TK10	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	1.7	1.73	0.3	all	0.25
OTU.3570	0.927326843269391	0.330182978236285	1	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA	1.7	1.73	0.3	all	0.25
OTU.4370	0.534506188505198	0.427579133932001	1	Bacteria	Chloroflexi	Anaerolineae	SBR1031	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.2750	0.255115561198362	0.499337738801528	1	Bacteria	Chloroflexi	Anaerolineae	SBR1031	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.1833	0.675734485602987	0.398917726988989	1	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	Ambiguous_taxa	Ambiguous_taxa	1.7	1.73	0.3	all	0.25
OTU.1272	-0.252160409075326	0.696033329015859	1	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	NA	1.7	1.73	0.3	all	0.25
OTU.367	1.78639469964927	0.0831999014572414	1	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	Ambiguous_taxa	1.7	1.73	0.3	all	0.25
OTU.2058	1.60449024694628	0.202270015053949	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.2194	0.140800781229701	0.547157293448319	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.14933	0.359238521926034	0.466670179338229	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.5968	0.618960989702397	0.357211530202336	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.147	0.48606353133559	0.363472389299525	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.87	0.372862770850357	0.402872121047188	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.30808	1.38644252186719	0.350239124024465	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.630	0.400523095040718	0.385195170660853	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.1054	0.175145111735348	0.550054145800552	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured Ktedonobacter sp.	1.7	1.73	0.3	all	0.25
OTU.6111	1.41120273456124	0.0332084588491255	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.20969	-0.106230240416864	0.7449969115294	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.427	0.445979021081128	0.369000251741045	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.30122	0.238038081050882	0.504013674746476	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.4477	0.628175976090219	0.289909133292842	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.287	0.0215171790568542	0.669677732754148	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.1677	0.418467764372664	0.382163716216813	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	1.7	1.73	0.3	all	0.25
OTU.847	0.961746565964448	0.199926598204637	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	NA	1.7	1.73	0.3	all	0.25
OTU.13636	0.754448077532495	0.416395917922735	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1959-1	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.5834	1.71039992678059	0.175666119858322	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1959-1	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.741	1.44760641622708	0.0346347309523438	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	NA	1.7	1.73	0.3	all	0.25
OTU.2282	0.75650310825226	0.423812208991964	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	NA	1.7	1.73	0.3	all	0.25
OTU.639	0.502737216093619	0.354198099915654	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	JG30a-KF-32	NA	1.7	1.73	0.3	all	0.25
OTU.1233	-0.349656647155077	0.78377081991085	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.15211	-0.625950793307635	0.859111165274647	1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.1728	-0.281213590605993	0.770296738735215	1	Bacteria	WPS-2	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.59	-0.276275316263044	0.876997494837105	1	Bacteria	WPS-2	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.671	-0.466770666934194	0.941087644778644	1	Bacteria	WPS-2	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	1.7	1.73	0.3	all	0.25
OTU.13618	0.0347921402561441	0.62021534150963	1	Bacteria	WPS-2	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.1835	-0.443863363330663	0.913293072203018	1	Bacteria	WPS-2	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.2364	-0.522803277881762	0.767138700753791	1	Bacteria	WPS-2	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.20477	0.15336219745986	0.541687152882162	1	Bacteria	WPS-2	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.20259	0.450848281875225	0.457474473322667	1	Bacteria	WPS-2	NA	NA	NA	NA	NA	1.7	1.73	0.3	all	0.25
OTU.3970	2.14937000647857	0.0788914361091711	1	Bacteria	Chloroflexi	Ktedonobacteria	B12-WMSP1	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	1.7	1.73	0.3	all	0.25
OTU.804	0.344808288845334	0.430026291785983	1	Bacteria	Chloroflexi	Ktedonobacteria	B12-WMSP1	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	1.7	1.73	0.3	all	0.25
OTU.1490	1.12141491000486	0.388777282625512	1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Fonticella	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.85	0.498273949208663	0.426936904798371	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	1.7	1.73	0.3	all	0.25
OTU.3027	1.12141491000486	0.388777282625512	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	1.7	1.73	0.3	all	0.25
OTU.35	1.00398361419916	0.209734840498646	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.2977	2.72088364393132	0.134678758484114	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Ambiguous_taxa	1.7	1.73	0.3	all	0.25
OTU.952	-0.753979598180621	0.90428663226795	1	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.2717	1.89581407816794	0.296543310557757	1	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.2718	1.56339116763593	0.335022824545147	1	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.19856	-0.402102620156553	0.638748323514575	1	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	uncultured bacterium	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.1371	0.497057491840802	0.374115835906556	1	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	NA	NA	NA	1.7	1.73	0.3	all	0.25
OTU.3864	0.962446084167118	0.405313135224052	1	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	uncultured bacterium	uncultured bacterium	1.7	1.73	0.3	all	0.25
OTU.3193	1.03132473455814	0.27040680992056	1	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA	1.7	1.73	0.3	all	0.25
